Section,Question,Notes
Current Workflow,"How are you tracking resident interactions today? (Paper, spreadsheet, nothing?)",
Current Workflow,"When a resident comes in for help with HOPE or utility assistance, what does that process look like start to finish?",
Current Workflow,"How many residents per month are you helping with benefits navigation? Ballpark is fine.",
Current Workflow,"Who's doing that work right now — you, the program manager, volunteers?",
Reporting & Data,"What does your funder reporting look like? What numbers do they ask for?",
Reporting & Data,"Are you currently able to say how many residents you helped apply for specific programs? Or is that a gap?",
Reporting & Data,"The job description mentions 'quantify what programs need more funding' — is anyone doing that now, or is that aspirational?",
Tech & Tools,"Does VCDC use Google Workspace?",
Tech & Tools,"What tools does the team already use day-to-day? (Even just email, calendars, file sharing)",
Tech & Tools,"Does the program manager work from the office, in the field, or both?",
Tech & Tools,"Do residents typically have smartphones when they come in?",
Community Engagement,"How do residents find out about VCDC's services? (Events, word of mouth, Nextdoor, church networks?)",
Community Engagement,"When you host quarterly engagement sessions, do you do any intake or just listen?",
Community Engagement,"Do you refer residents to other organizations, and if so, do you ever hear back on what happened?",
Marketing & Distribution,"What's your most active social channel right now? Where do residents actually engage?",
Marketing & Distribution,"How large is your following across platforms?",
Marketing & Distribution,"Are you posting regularly or is social media sporadic?",
Marketing & Distribution,"Do you have an email list or newsletter?",
Marketing & Distribution,"Are you active in the Villages neighborhood groups on Nextdoor?",
Resident Behavior,"When a resident needs help with property taxes or utility bills, where do they go first? (Google, call 211, ask a neighbor, come to you?)",
Resident Behavior,"Do you work with block clubs, churches, or other neighborhood anchors that could spread the word?",
Resident Behavior,"Are there specific times of year when demand spikes? (Tax season for HOPE, heating season for LIHEAP/weatherization)",
Event-Based Outreach,"At your quarterly community sessions, do you collect contact info from attendees?",
Event-Based Outreach,"Would a QR code on a flyer work, or is the population you're serving less likely to scan a code and more likely to respond to a phone number?",
Event-Based Outreach,"Do partner organizations (Accounting Aid Society, Wayne Metro, etc.) refer residents to you?",
Success Criteria,"If this tool existed and worked perfectly six months from now, what would be different about your day-to-day?",
Success Criteria,"Is the primary value saving staff time, reaching more residents, or having better data for funders?",
Success Criteria,"Are there specific programs where you feel like residents are falling through the cracks?",
Scoping the Relationship,"Are you looking for a volunteer/pro-bono contribution, or is there budget for this kind of work?",
Scoping the Relationship,"Would this fall under the program manager's responsibilities to maintain, or would you need ongoing outside support?",
Scoping the Relationship,"Are there other CDCs or neighborhood orgs you'd want to share this with?",
